zipcode,congress,congressperson,rep,representative,actual_rep_name
15447,,,,{'Reschenthaler'},['Meuser']
15466,,,,{'Reschenthaler'},['Meuser']
15564,,,,{'Joyce'},['Meuser']
16650,,{'Levin'},,{'Joyce'},['Meuser' 'Dean']
16664,,,,{'Joyce'},['Meuser']
17078,,,,{'Ryan'},['Meuser' 'Lamb' 'Thompson']
17220,{'Lee'},,,,['Meuser']
17256,,,,,['Meuser']
17265,,,{'Wilson'},,['Meuser']
17901,,,,,['Meuser' 'Lamb']
17932,,,,,['Meuser']
15140,,,{'Doyle'},,['Reschenthaler']
15206,,{'Doyle'},,,['Reschenthaler']
16057,{'Kelly'},{'Kelly'},{'Scott'},,['Evans']
17949,,,,,['Lamb']
18042,,,,,['Lamb' 'Cartwright' 'Thompson' 'Wild']
18045,,,,,['Lamb' 'Thompson' 'Wild']
18214,,,,,['Lamb']
18235,,{'Meuser'},{'Doyle'},,['Lamb' 'Smucker']
18252,,{'Cartwright'},,,['Lamb']
18356,,,,,['Lamb']
18519,,,,,['Lamb' 'Cartwright']
18644,,,,,['Lamb' 'Smucker']
17310,,,,,['Dean']
17371,,{'Scott'},,{'Scott'},['Dean']
17403,,"{'Perry', 'Scott'}","{'Perry', 'Scott'}",{'Scott'},['Dean']
18073,{'Fitzpatrick'},,,{'Fitzpatrick'},['Dean' 'Cartwright' 'Houlahan']
18918,,,,,['Cartwright']
18927,,{'Casten'},,,['Cartwright']
18928,,,{'Cook'},,['Cartwright']
17034,,,,,['Smucker']
17061,,"{'Perry', 'Scott'}",,,['Smucker']
18247,,,,,['Smucker']
18251,,,,,['Smucker']
18634,,,,,['Smucker']
18765,,,,,['Smucker']
18031,,,{'Ryan'},,['Thompson' 'Wild']
18078,,,,,['Thompson' 'Wild']
19526,,,,,['Thompson' 'Houlahan']
19031,,{'Evans'},,{'Dean'},['Joyce' 'Wild']
19124,,{'Evans'},,,['Joyce' 'Fitzpatrick']
19128,,{'Evans'},,,['Joyce' 'Boyle']
17569,,{'Smucker'},,,['Houlahan' 'Kelly' 'Wild']
19087,,,,,['Houlahan' 'Wild' 'Boyle']
19320,,,{'Lawrence'},,['Houlahan' 'Kelly' 'Wild']
19609,,,{'Cox'},{'Cox'},['Houlahan' 'Kelly' 'Wild']
19612,,{'Smucker'},,,['Houlahan']
17529,,,{'Scott'},,['Kelly' 'Wild']
17551,{'Walker'},{'Smucker'},,{'Smucker'},['Kelly']
17601,,{'Smucker'},"{'Miller', 'Smucker', 'King'}",{'Smucker'},['Kelly']
19443,,{'Burgess'},,,['Wild']
19142,,{'Evans'},,,['Fitzpatrick']
19147,,{'Brady'},,{'Evans'},['Fitzpatrick']
2902,,"{'Hill', 'Langevin'}",,,['Cicilline']
2910,,,,,['Cicilline' 'Langevin']
2911,,,,,['Cicilline' 'Langevin']
2917,,,,,['Cicilline']
2822,,,,,['Langevin']
2873,,,,,['Langevin']
2892,,{'Cicilline'},,,['Langevin']
2894,,,,,['Langevin']
2918,,{'Cicilline'},,,['Langevin']
29014,,,,,['Norman']
29040,,{'Timmons'},,,['Norman']
29150,,,,,['Norman' 'Clyburn']
29303,,,,,['Norman' 'Timmons']
29307,{'Scott'},{'Duncan'},,,['Norman' 'Timmons']
29209,,,,,['Clyburn' 'Wilson']
29223,,,,,['Clyburn' 'Wilson']
29436,,,,,['Clyburn']
29437,,,,,['Clyburn']
29447,,,{'Kirkpatrick'},,['Clyburn']
29472,,{'Scott'},,,['Clyburn' 'Cunningham']
